trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
51,0,51,0,5,145.1758833,145.1758833,0.0643749,-0.495714286,-0.218571429,1,0,0,1.7228577,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
54,0,54,0,5,152.9383095,152.9383095,0.0494501,-0.457142857,0.33,1,0,0,0.2025387,    ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
58,0,58,0,5,163.0866748,163.0866748,0.0643839,0.278571429,-0.375714286,1,0,0,1.8071985,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
60,0,60,0,5,168.3188286,168.3188286,0.0630036,0.078571429,0.39,1,0,0,2.5920342,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
62,0,62,0,5,173.9484479,173.9484479,0.0621872,0.444285714,0.424285714,1,0,0,3.2561803,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
63,0,63,0,5,177.2655871,177.2655871,0.0623722,0.341428571,0.3,1,0,0,3.6930835,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
65,0,65,0,5,184.9613712,184.9613712,0.0632993,-0.19,0.362857143,1,0,0,2.210428,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
66,0,66,0,5,187.2268001,187.2268001,0.0583823,-0.221428571,0.385714286,1,0,0,1.4133888,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
67,0,67,0,5,188.7101869,188.7101869,0.0622381,-0.198571429,0.138571429,1,0,0,1.7224632,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
68,0,68,0,5,190.5277906,190.5277906,0.0647361,0.227142857,0.054285714,1,0,0,2.7424131,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
69,0,69,0,5,193.3257606,193.3257606,0.06193,0.241428571,-0.427142857,1,0,0,4.0225921,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
70,0,70,0,5,197.4236805,197.4236805,0.0625667,0.485714286,0.47,1,0,0,4.2749789,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
75,0,75,0,5,211.7689943,211.7689943,0.0633743,-0.248571429,-0.474285714,1,0,0,2.8085265,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
77,0,77,0,5,216.8339262,216.8339262,0.0605904,0.321428571,0.067142857,1,0,0,5.3258004,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
81,0,81,0,5,230.7126478,230.7126478,0.063888,0.297142857,-0.262857143,1,0,0,3.4903151,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
84,0,84,0,5,240.4260226,240.4260226,0.062061,0.081428571,-0.267142857,1,0,0,2.8925368,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
85,0,85,0,5,243.374654,243.374654,0.0644518,-0.438571429,-0.27,1,0,0,1.6902582,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
87,0,87,0,5,247.7249726,247.7249726,0.0560565,-0.417142857,-0.121428571,1,0,0,1.5187382,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
90,0,90,0,5,257.1203869,257.1203869,0.0636279,-0.112857143,0.247142857,1,0,0,3.1905787,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
93,0,93,0,5,263.9863218,263.9863218,0.0624614,0.234285714,-0.43,1,0,0,2.5093168,    ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
94,0,94,0,5,266.5335039,266.5335039,0.0488828,-0.261428571,0.254285714,1,0,0,3.2193061,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
97,0,97,0,5,279.8309441,279.8309441,0.0634611,-0.29,-0.45,1,0,0,2.827066,  'target'  ,56194,1,2023-09-28_11h53.48.205,Tutorial_3,2023.1.3,59.93953299,,,,
