trials.A1:K1thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,,
121,0,121,0,10,113.1675549,113.1675549,0.0363684,0.272222222,0.312037037,1,0,0,1.7446172,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
122,0,122,0,10,114.9445864,114.9445864,0.0316026,0.45,0.453703704,1,0,0,1.6978793,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
123,0,123,0,10,119.4434657,119.4434657,0.0314991,-0.325,-0.202777778,1,0,0,2.2812045,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
124,0,124,0,10,121.7607558,121.7607558,0.0325736,0.287037037,0.437962963,1,0,0,2.1652815,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
125,0,125,0,10,125.4776414,125.4776414,0.0317518,0.341666667,-0.105555556,1,0,0,1.3489448,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
126,0,126,0,10,132.0603597,132.0603597,0.0314787,0.067592593,0.150925926,1,0,0,1.6157137,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
127,0,127,0,10,133.7123138,133.7123138,0.0326502,0.042592593,0.257407407,1,0,0,1.5457956,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
128,0,128,0,10,135.2924997,135.2924997,0.0307663,-0.228703704,-0.351851852,1,0,0,1.9993598,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
129,0,129,0,10,137.33241,137.33241,0.0344802,-0.193518519,0.089814815,1,0,0,1.3463779,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
130,0,130,0,10,138.7107124,138.7107124,0.0318929,-0.471296296,-0.442592593,1,0,0,1.7807729,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
131,0,131,0,10,140.5276407,140.5276407,0.0320478,-0.183333333,0.456481481,1,0,0,1.9656728,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
132,0,132,0,10,144.3265223,144.3265223,0.0319642,-0.293518519,0.136111111,1,0,0,1.3991616,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
133,0,133,0,10,147.3265981,147.3265981,0.0316678,0.175925926,-0.483333333,1,0,0,2.1489892,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
134,0,134,0,10,149.5117886,149.5117886,0.0332406,-0.413888889,-0.45,1,0,0,2.1475117,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
135,0,135,0,10,153.4927448,153.4927448,0.0307368,0.100925926,0.209259259,1,0,0,1.3482083,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
136,0,136,0,10,154.8769844,154.8769844,0.0324836,0.448148148,0.233333333,1,0,0,2.2316875,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
137,0,137,0,10,157.1453778,157.1453778,0.0325591,0.183333333,0.5,1,0,0,2.430536,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
138,0,138,0,10,159.6080959,159.6080959,0.029788,-0.472222222,0.398148148,1,0,0,1.9505907,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
139,0,139,0,10,161.5944618,161.5944618,0.0322815,-0.112962963,-0.298148148,1,0,0,1.8293865,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
140,0,140,0,10,165.0106423,165.0106423,0.033015,-0.462037037,0.292592593,1,0,0,2.0642704,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
141,0,141,0,10,170.0603275,170.0603275,0.0316217,0.186111111,0.119444444,1,0,0,1.6481515,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
142,0,142,0,10,173.3436472,173.3436472,0.0321384,0.030555556,0.390740741,1,0,0,2.2639961,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
143,0,143,0,10,175.6429329,175.6429329,0.0322908,-0.130555556,-0.481481481,1,0,0,2.2330446,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
144,0,144,0,10,179.8240205,179.8240205,0.0300218,0.359259259,0.353703704,1,0,0,2.1836958,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
145,0,145,0,10,182.0430074,182.0430074,0.0320253,0.025925926,0.203703704,1,0,0,1.8143926,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
146,0,146,0,10,183.8926434,183.8926434,0.0322389,0.353703704,-0.1,1,0,0,1.9485579,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
147,0,147,0,10,185.8747405,185.8747405,0.0305687,-0.252777778,-0.312962963,1,0,0,1.5832331,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
148,0,148,0,10,189.5111604,189.5111604,0.0327999,-0.248148148,-0.250925926,1,0,0,1.7458903,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
149,0,149,0,10,191.2913984,191.2913984,0.0307685,-0.276851852,-0.034259259,1,0,0,1.549205,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
150,0,150,0,10,192.877031,192.877031,0.0323729,-0.015740741,-0.056481481,1,0,0,2.1306422,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
151,0,151,0,10,195.0432157,195.0432157,0.0323861,-0.307407407,0.496296296,1,0,0,2.681263,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
152,0,152,0,10,199.4099025,199.4099025,0.0320716,0.107407407,-0.099074074,1,0,0,1.3975156,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
153,0,153,0,10,212.6767538,212.6767538,0.0325516,-0.325925926,-0.030555556,1,0,0,1.9146891,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
154,0,154,0,10,214.6267988,214.6267988,0.0320719,0.12037037,-0.289814815,1,0,0,1.8144848,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
155,0,155,0,10,222.7084078,222.7084078,0.0316413,0.174074074,0.150925926,1,0,0,1.3984288,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
156,0,156,0,10,229.2246547,229.2246547,0.0444857,0.387037037,0.072222222,1,0,0,1.7854036,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
157,0,157,0,10,232.8416325,232.8416325,0.0316488,0.098148148,-0.000925926,1,0,0,1.6481283,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
158,0,158,0,10,234.5238854,234.5238854,0.0309033,0.499074074,-0.37962963,1,0,0,2.2176352,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
159,0,159,0,10,238.5758749,238.5758749,0.0453953,-0.312037037,0.025925926,1,0,0,1.5339556,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
160,0,160,0,10,240.1428498,240.1428498,0.0325734,0.088888889,-0.006481481,1,0,0,1.5633681,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
161,0,161,0,10,243.291125,243.291125,0.032057,-0.136111111,0.335185185,1,0,0,2.4156277,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
162,0,162,0,10,245.7420749,245.7420749,0.0322031,0.034259259,-0.384259259,1,0,0,2.1805435,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
163,0,163,0,10,247.9563839,247.9563839,0.0304874,-0.438888889,0.087037037,1,0,0,1.7672456,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
164,0,164,0,10,249.7588516,249.7588516,0.031419,-0.177777778,-0.450925926,1,0,0,1.7811913,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
165,0,165,0,10,254.9746211,254.9746211,0.0307279,0.264814815,-0.060185185,1,0,0,1.7648588,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
166,0,166,0,10,256.7774498,256.7774498,0.0330699,0.116666667,0.476851852,1,0,0,1.9449436,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
167,0,167,0,10,260.607181,260.607181,0.0305068,0.483333333,-0.25462963,1,0,0,1.8334173,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
168,0,168,0,10,266.1286565,266.1286565,0.0327176,-0.403703704,-0.318518519,1,0,0,1.6800397,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
169,0,169,0,10,267.8421835,267.8421835,0.0315841,0.343518519,0.181481481,1,0,0,2.1646288,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
170,0,170,0,10,272.0075464,272.0075464,0.0306274,0.443518519,0.065740741,1,0,0,2.1164225,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
171,0,171,0,10,274.1592614,274.1592614,0.0317299,0.452777778,0.210185185,1,0,0,1.5807799,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
172,0,172,0,10,277.924583,277.924583,0.0316747,0.455555556,0.298148148,1,0,0,1.6818701,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
173,0,173,0,10,281.6572675,281.6572675,0.0312325,0.433333333,-0.130555556,1,0,0,1.7324517,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
174,0,174,0,10,283.4240785,283.4240785,0.0315677,0.177777778,-0.035185185,1,0,0,1.9656852,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
175,0,175,0,10,291.4768646,291.4768646,0.0325301,0.433333333,-0.14537037,1,0,0,2.280315,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
176,0,176,0,10,296.0265263,296.0265263,0.0331011,0.5,0.325925926,1,0,0,2.1967006,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
177,0,177,0,10,300.6910126,300.6910126,0.0312423,-0.017592593,0.432407407,1,0,0,1.8321557,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
178,0,178,0,10,306.239735,306.239735,0.0308387,0.211111111,0.364814815,1,0,0,1.8168929,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
179,0,179,0,10,308.0916218,308.0916218,0.031674,-0.086111111,-0.317592593,1,0,0,1.9146025,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
180,0,180,0,10,311.9083118,311.9083118,0.031907,-0.088888889,0.058333333,1,0,0,1.8814399,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
181,0,181,0,10,315.3896996,315.3896996,0.0310988,0.496296296,0.406481481,1,0,0,1.4988039,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
182,0,182,0,10,316.9252011,316.9252011,0.032155,-0.12962963,-0.125,1,0,0,1.5475985,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
183,0,183,0,10,318.5063538,318.5063538,0.0304192,-0.341666667,-0.350925926,1,0,0,1.6496141,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
184,0,184,0,10,323.4563158,323.4563158,0.0312714,-0.142592593,-0.35,1,0,0,1.5831992,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
185,0,185,0,10,325.0741485,325.0741485,0.0314854,-0.146296296,-0.422222222,1,0,0,1.7483589,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
186,0,186,0,10,326.8568175,326.8568175,0.0310428,-0.259259259,-0.317592593,1,0,0,1.332066,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
187,0,187,0,10,333.6253919,333.6253919,0.0330959,0.144444444,-0.44537037,1,0,0,1.7484229,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
188,0,188,0,10,335.4080178,335.4080178,0.0311165,0.362962963,0.032407407,1,0,0,1.6967069,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
189,0,189,0,10,337.1390426,337.1390426,0.0311748,0.223148148,-0.347222222,1,0,0,1.8163837,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
190,0,190,0,10,338.9922824,338.9922824,0.0329117,-0.398148148,0.352777778,1,0,0,2.1130648,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
191,0,191,0,10,349.873734,349.873734,0.0317883,0.003703704,-0.072222222,1,0,0,1.4661239,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
192,0,192,0,10,351.3750913,351.3750913,0.0320534,-0.47037037,-0.097222222,1,0,0,1.313822,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
193,0,193,0,10,354.617825,354.617825,0.0396945,-0.158333333,0.382407407,1,0,0,2.4248112,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
194,0,194,0,10,360.3904142,360.3904142,0.0322511,-0.301851852,-0.482407407,1,0,0,1.7162702,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
195,0,195,0,10,364.0234799,364.0234799,0.0321067,-0.239814815,-0.032407407,1,0,0,2.2649972,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
196,0,196,0,10,366.3211469,366.3211469,0.0297417,0.207407407,0.47962963,1,0,0,2.1669452,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
197,0,197,0,10,370.0740142,370.0740142,0.0318227,-0.118518519,0.240740741,1,0,0,1.4140749,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
198,0,198,0,10,371.5230603,371.5230603,0.0316275,-0.17037037,0.058333333,1,0,0,1.4313475,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
199,0,199,0,10,372.9876943,372.9876943,0.0304311,-0.272222222,0.091666667,1,0,0,1.7331357,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
