trials.A1:K1thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,,
27,0,27,0,5,96.5147631,96.5147631,0.0197744,0.05,-0.025,1,0,0,1.7597038,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
28,0,28,0,5,98.295197,98.295197,0.0174662,-0.396296296,0.088888889,1,0,0,1.7287514,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
29,0,29,0,5,106.1774402,106.1774402,0.0172065,-0.351851852,-0.001851852,1,0,0,1.1971733,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
30,0,30,0,5,109.6606781,109.6606781,0.0175901,-0.277777778,-0.27037037,1,0,0,1.7801506,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
31,0,31,0,5,111.461308,111.461308,0.0168565,-0.326851852,0.010185185,1,0,0,1.6622071,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
32,0,32,0,5,116.6602482,116.6602482,0.0161895,0.378703704,-0.168518519,1,0,0,2.7469887,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
33,0,33,0,5,123.9457057,123.9457057,0.0173532,0.387037037,-0.215740741,1,0,0,1.4948099,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
34,0,34,0,5,126.8425573,126.8425573,0.0151577,-0.282407407,0.239814815,1,0,0,1.3818678,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
35,0,35,0,5,128.2459043,128.2459043,0.0179968,-0.34537037,-0.375,1,0,0,2.0942276,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
36,0,36,0,5,130.3616888,130.3616888,0.0174141,0.172222222,0.037037037,1,0,0,1.6627389,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
37,0,37,0,5,142.5107,142.5107,0.0169653,-0.332407407,-0.256481481,1,0,0,1.7788322,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
38,0,38,0,5,145.7435726,145.7435726,0.0161955,-0.399074074,0.131481481,1,0,0,1.546617,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
39,0,39,0,5,151.6763933,151.6763933,0.0161257,0.233333333,-0.166666667,1,0,0,1.7802745,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
40,0,40,0,5,163.4425027,163.4425027,0.0166865,0.472222222,-0.041666667,1,0,0,1.5304742,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
41,0,41,0,5,167.0922688,167.0922688,0.0163449,-0.478703704,-0.213888889,1,0,0,1.4808854,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
42,0,42,0,5,168.5932942,168.5932942,0.0167704,-0.066666667,-0.299074074,1,0,0,1.4298908,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
43,0,43,0,5,171.7270496,171.7270496,0.0173564,0.488888889,0.467592593,1,0,0,1.5791493,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
44,0,44,0,5,177.8941463,177.8941463,0.0167161,0.253703704,-0.471296296,1,0,0,1.8949065,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
45,0,45,0,5,187.4762401,187.4762401,0.0167055,0.147222222,-0.02037037,1,0,0,1.9975577,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
46,0,46,0,5,197.7441784,197.7441784,0.0175987,0.144444444,0.213888889,1,0,0,1.6287816,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
47,0,47,0,5,200.8257426,200.8257426,0.0164234,0.107407407,-0.375,1,0,0,1.4816638,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
48,0,48,0,5,202.3266989,202.3266989,0.0163903,0.399074074,0.187037037,1,0,0,1.5784076,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
49,0,49,0,5,203.9259375,203.9259375,0.0176405,0.238888889,-0.030555556,1,0,0,1.3965133,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
50,0,50,0,5,205.3539809,205.3539809,0.0243689,-0.213888889,-0.086111111,1,0,0,2.019419,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
51,0,51,0,5,207.3928845,207.3928845,0.0172356,-0.32037037,-0.182407407,1,0,0,1.5638683,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
52,0,52,0,5,208.9777338,208.9777338,0.0178227,0.205555556,0.419444444,1,0,0,1.7619204,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
53,0,53,0,5,210.7603223,210.7603223,0.0168523,-0.239814815,-0.230555556,1,0,0,1.8793516,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
54,0,54,0,5,216.4786437,216.4786437,0.0262672,0.477777778,0.431481481,1,0,0,2.2169334,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
55,0,55,0,5,218.7104754,218.7104754,0.0166088,-0.071296296,-0.461111111,1,0,0,2.0950475,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
56,0,56,0,5,220.8249825,220.8249825,0.016387,-0.155555556,0.057407407,1,0,0,1.8468922,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
57,0,57,0,5,224.124533,224.124533,0.0164064,-0.491666667,-0.322222222,1,0,0,1.5632783,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
58,0,58,0,5,225.707732,225.707732,0.0163081,-0.109259259,0.244444444,1,0,0,1.731338,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
59,0,59,0,5,227.4649159,227.4649159,0.0208383,-0.125925926,-0.100925926,1,0,0,1.7081633,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
60,0,60,0,5,231.025871,231.025871,0.0173717,-0.259259259,-0.299074074,1,0,0,1.7788374,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
61,0,61,0,5,236.7587902,236.7587902,0.016302,0.167592593,0.47962963,1,0,0,1.7632216,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
62,0,62,0,5,241.7233607,241.7233607,0.0159117,-0.212037037,-0.418518519,1,0,0,1.5307429,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
63,0,63,0,5,251.5590234,251.5590234,0.0174577,-0.07962963,-0.439814815,1,0,0,1.7124067,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
64,0,64,0,5,253.2919291,253.2919291,0.0172182,-0.2,-0.34537037,1,0,0,1.6471768,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
65,0,65,0,5,258.741435,258.741435,0.0175678,-0.474074074,0.152777778,1,0,0,1.8302433,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
66,0,66,0,5,262.4668021,262.4668021,0.021868,-0.318518519,-0.15,1,0,0,1.8232776,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
67,0,67,0,5,264.3098718,264.3098718,0.0177994,0.193518519,-0.434259259,1,0,0,1.7786617,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
68,0,68,0,5,270.0262466,270.0262466,0.0174784,0.137962963,0.132407407,1,0,0,1.9452487,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
69,0,69,0,5,275.7585,275.7585,0.0173696,-0.137962963,-0.092592593,1,0,0,2.1294054,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
70,0,70,0,5,279.6253745,279.6253745,0.0171743,-0.180555556,-0.087037037,1,0,0,1.9954671,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
71,0,71,0,5,285.4158174,285.4158174,0.0216192,0.441666667,0.22037037,1,0,0,1.6399094,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
72,0,72,0,5,287.0733848,287.0733848,0.0166663,0.466666667,-0.40462963,1,0,0,2.3140492,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
73,0,73,0,5,289.4085128,289.4085128,0.0171771,0.17037037,-0.475,1,0,0,2.0295649,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
74,0,74,0,5,293.7746382,293.7746382,0.0159474,-0.048148148,0.265740741,1,0,0,2.2135331,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
75,0,75,0,5,298.2423184,298.2423184,0.0175786,0.12037037,0.107407407,1,0,0,2.4124564,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
76,0,76,0,5,302.5430867,302.5430867,0.0177914,0.326851852,0.212037037,1,0,0,1.5444276,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
77,0,77,0,5,304.1081479,304.1081479,0.0167835,-0.178703704,0.150925926,1,0,0,2.0959401,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
78,0,78,0,5,310.0255223,310.0255223,0.0174316,0.102777778,-0.45,1,0,0,1.8449832,  'target'  ,Trial2,1,2023-09-28_19h55.47.142,Visual_Search_Exp,2022.2.4,60.03035133,,,,,
