trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
67,0,67,0,5,106.448793,106.448793,0.0094395,0.238888889,-0.296666667,1,0,0,1.142280125,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
73,0,73,0,5,115.2987047,115.2987047,0.00934375,-0.025555556,0.416666667,1,0,0,1.360255041,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
77,0,77,0,5,120.6576301,120.6576301,0.009763625,-0.05,0.444444444,1,0,0,1.2848375,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
79,0,79,0,5,122.8891776,122.8891776,0.009797083,0.034444444,0.4,1,0,0,0.935437917,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
80,0,80,0,5,123.8375996,123.8375996,0.009954459,-0.324444444,0.145555556,1,0,0,1.071771209,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
81,0,81,0,5,124.9213436,124.9213436,0.009675042,0.387777778,-0.466666667,1,0,0,1.787838208,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
82,0,82,0,5,126.7217868,126.7217868,0.009974709,-0.145555556,-0.288888889,1,0,0,1.337441041,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
85,0,85,0,5,130.7577911,130.7577911,0.009667375,-0.416666667,0.355555556,1,0,0,1.451986625,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
92,0,92,0,5,139.6828346,139.6828346,0.009415167,-0.312222222,-0.463333333,1,0,0,1.176895875,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
95,0,95,0,5,143.400472,143.400472,0.009762125,-0.066666667,0.477777778,1,0,0,1.608756416,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
97,0,97,0,5,146.7744495,146.7744495,0.009895959,-0.498888889,-0.328888889,1,0,0,1.401040625,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
99,0,99,0,5,149.3755958,149.3755958,0.010038667,-0.382222222,-0.385555556,1,0,0,1.267925792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
102,0,102,0,5,154.5836977,154.5836977,0.009519917,0.356666667,0.356666667,1,0,0,1.509123041,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
103,0,103,0,5,156.1054991,156.1054991,0.009706167,-0.042222222,-0.217777778,1,0,0,1.338441333,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
104,0,104,0,5,157.4559974,157.4559974,0.009901792,-0.087777778,0.008888889,1,0,0,0.869988459,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
105,0,105,0,5,158.3385868,158.3385868,0.009841166,0.014444444,-0.043333333,1,0,0,0.954391,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
112,0,112,0,5,167.3841822,167.3841822,0.009590917,0.308888889,0.273333333,1,0,0,1.109651708,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
113,0,113,0,5,168.5066038,168.5066038,0.009691833,-0.43,-0.182222222,1,0,0,1.320985833,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
114,0,114,0,5,169.8397565,169.8397565,0.009717167,0.275555556,-0.394444444,1,0,0,1.287399916,     ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
117,0,117,0,5,173.9014207,173.9014207,0.009402416,-0.363333333,0.205555556,1,0,0,1.458902875,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
120,0,120,0,5,178.3587773,178.3587773,0.009793292,-0.154444444,0.335555556,1,0,0,1.118662292,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
122,0,122,0,5,180.8417104,180.8417104,0.009606125,-0.038888889,0.333333333,1,0,0,1.019616792,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
123,0,123,0,5,181.8735632,181.8735632,0.009660583,-0.244444444,-0.362222222,1,0,0,1.320023584,  'target'   ,1,1,2023-09-28_19h46.14.068,Visual_search,2023.1.3,None,,,,
